title,organization,created,updated,num_resources,notes,year
Surface Water - Toxicity Results,California State Water Resources Control Board,2019-08-10 04:55:01.766996,2026-04-14T19:21:28.897740,7,"Surface water toxicity data from the [California Environmental Data Exchange Network](https://ceden.waterboards.ca.gov) (CEDEN). CEDEN is the California State Water Board's data system for surface water quality in California, and seeks to include all available statewide data (such as that produced by research and volunteer organizations). Data in CEDEN include field, sediment and water column data collected from freshwater, estuarine, and marine environments. Examples of data in CEDEN come from laboratory, physical and biological analyses and include data types associated with chemical, toxicological, field, bio-assessment, invertebrate, fish, and bacteriological assay assessments.

The data resource ""Surface Water Toxicity"" contains two provisionally assigned values (“DataQuality” and “DataQualityIndicator”) to help users interpret the data quality metadata provided with the associated result.

Zip files are provided for bulk data downloads (in csv or parquet file format), and developers can use the API associated with the ""Surface Water Toxicity"" (csv) resource to access the data.

Users who want to manually download more specific subsets of the data can also use the [CEDEN Query Tool](https://ceden.waterboards.ca.gov/CQT/Home/AqtTool), which provides access to the same data presented here, but allows for interactive data filtering.",2019
Surface Water - Water Quality Regulated Facility Information,California State Water Resources Control Board,2019-08-10 10:26:55.241555,2026-04-14T19:09:34.154202,8,"Information regarding site visits of facilities that discharge wastewater, from the [California Integrated Water Quality System](https://www.waterboards.ca.gov/ciwqs) (CIWQS).
",2019
Surface Water - Water Quality Regulatory Information,California State Water Resources Control Board,2019-08-10 05:02:43.632966,2026-04-14T19:07:48.507621,5,"This data set lists active and historical enforcement actions records that are stored in the [California Integrated Water Quality System](https://www.waterboards.ca.gov/ciwqs) (CIWQS). Enforcement actions are generally issued in response to one or more instances of non-compliance (violations) of a base regulatory measure. Enforcement actions can be monetary or non-monetary.
",2019
Surface Water - Fecal Indicator Bacteria Monitoring Results,California State Water Resources Control Board,2019-08-10 03:21:08.075700,2026-04-14T19:04:45.938354,9,"<p>This dataset contains fecal indicator bacteria (FIB) monitoring results collected from surface waters across California. It includes results for _Escherichia coli_ (E. coli), enterococci, fecal coliforms, and total coliforms - key indicators used to assess microbial water quality and potential health risks associated with recreational water use.</p>

<p>The data has been cleaned and standardized to ensure consistency and usability. For each valid data point, the dataset also includes calculated 6-week and 30-day geometric means, which are commonly used to evaluate long-term water quality trends and compliance with bacteria water quality objectives. Some records are excluded from the final dataset during processing. These typically include duplicate or replicate results, records with missing or invalid result values, or any data that cannot be used to calculate a geometric mean. These records are saved to the ""Excluded Records"" data resource.</p>

<p>This dataset serves as the primary data source for the Water Boards My Water Quality Portal [Safe to Swim Map](https://mywaterquality.ca.gov/safe-to-swim/content/interactive_map/index.html), which provides the public with timely information about potential health risks associated with water contact recreation at monitored sites.</p>

<p>Data is sourced from the [California Environmental Data Exchange Network](https://ceden.waterboards.ca.gov) (CEDEN) database, BeachWatch database, and the Central Valley Water Board [Lower American River Recreational Water Quality Map](https://experience.arcgis.com/experience/47e27f245e044ac2a8e15083307e75f6/?draft=true&org=waterboards). There is some overlap with the [CEDEN Water Chemistry dataset](https://data.ca.gov/dataset/surface-water-chemistry-results). Both portal datasets draw from the same source, but the resources here are updated more frequently to support the Safe to Swim map.</p>",2019
COVID-19 Vaccine Progress Dashboard Data,California Department of Public Health,2023-12-04 23:03:52.346648,2026-04-14T18:00:17.643660,29,"__Note__: In these datasets, a person is defined as up to date if they have received at least one dose of an updated COVID-19 vaccine. The Centers for Disease Control and Prevention (CDC) recommends that certain groups, including adults ages 65 years and older, receive additional doses.

On 6/16/2023 CDPH replaced the booster measures with a new “Up to Date” measure based on CDC’s new recommendations, replacing the primary series, boosted, and bivalent booster metrics The definition of “primary series complete” has not changed and is based on previous recommendations that CDC has since simplified. A person cannot complete their primary series with a single dose of an updated vaccine. Whereas the booster measures were calculated using the eligible population as the denominator, the new up to date measure uses the total estimated population. Please note that the rates for some groups may change since the up to date measure is calculated differently than the previous booster and bivalent measures.

This data is from the same source as the Vaccine Progress Dashboard at https://covid19.ca.gov/vaccination-progress-data/ which summarizes vaccination data at the county level by county of residence. Where county of residence was not reported in a vaccination record, the county of provider that vaccinated the resident is included. This applies to less than 1% of vaccination records. The sum of county-level vaccinations does not equal statewide total vaccinations due to out-of-state residents vaccinated in California.

These data do not include doses administered by the following federal agencies who received vaccine allocated directly from CDC: Indian Health Service, Veterans Health Administration, Department of Defense, and the Federal Bureau of Prisons.

Totals for the Vaccine Progress Dashboard and this dataset may not match, as the Dashboard totals doses by Report Date and this dataset totals doses by Administration Date. Dose numbers may also change for a particular Administration Date as data is updated.

Previous updates:

*  On March 3, 2023, with the release of HPI 3.0 in 2022, the previous equity scores have been updated to reflect more recent community survey information. This change represents an improvement to the way CDPH monitors health equity by using the latest and most accurate community data available. The HPI uses a collection of data sources and indicators to calculate a measure of community conditions ranging from the most to the least healthy based on economic, housing, and environmental measures.

*  Starting on July 13, 2022, the denominator for calculating vaccine coverage has been changed from age 5+ to all ages to reflect new vaccine eligibility criteria. Previously the denominator was changed from age 16+ to age 12+ on May 18, 2021, then changed from age 12+ to age 5+ on November 10, 2021, to reflect previous changes in vaccine eligibility criteria.  The previous datasets based on age 16+ and age 5+ denominators have been uploaded as archived tables.

*  Starting on May 29, 2021 the methodology for calculating on-hand inventory in the shipped/delivered/on-hand dataset has changed. Please see the accompanying data dictionary for details. In addition, this dataset is now down to the ZIP code level.",2023
COVID-19 Vaccine Progress Dashboard Data by ZIP Code,California Department of Public Health,2023-12-04 23:05:39.432511,2026-04-14T18:04:39.940417,7,"__Note__: In these datasets, a person is defined as up to date if they have received at least one dose of an updated COVID-19 vaccine. The Centers for Disease Control and Prevention (CDC) recommends that certain groups, including adults ages 65 years and older, receive additional doses.

Starting on July 13, 2022, the denominator for calculating vaccine coverage has been changed from age 5+ to all ages to reflect new vaccine eligibility criteria. Previously the denominator was changed from age 16+ to age 12+ on May 18, 2021, then changed from age 12+ to age 5+ on November 10, 2021, to reflect previous changes in vaccine eligibility criteria. The previous datasets based on age 12+ and age 5+ denominators have been uploaded as archived tables. 

Starting June 30, 2021, the dataset has been reconfigured so that all updates are appended to one dataset to make it easier for API and other interfaces. In addition, historical data has been extended back to January 5, 2021.

This dataset shows full, partial, and at least 1 dose coverage rates by zip code tabulation area (ZCTA) for the state of California. Data sources include the California Immunization Registry and the American Community Survey’s 2015-2019 5-Year data.

This is the data table for the [LHJ Vaccine Equity Performance dashboard](https://public.tableau.com/profile/ca.open.data#!/vizhome/LHJVaccineEquityPerformance/MapView?publish=yes). However, this data table also includes ZTCAs that do not have a VEM score.

This dataset also includes Vaccine Equity Metric score quartiles (when applicable), which combine the Public Health Alliance of Southern California’s Healthy Places Index (HPI) measure with CDPH-derived scores to estimate factors that impact health, like income, education, and access to health care. ZTCAs range from less healthy community conditions in Quartile 1 to more healthy community conditions in Quartile 4.

The Vaccine Equity Metric is for weekly vaccination allocation and reporting purposes only. CDPH-derived quartiles should not be considered as indicative of the HPI score for these zip codes. CDPH-derived quartiles were assigned to zip codes excluded from the HPI score produced by the Public Health Alliance of Southern California due to concerns with statistical reliability and validity in populations smaller than 1,500 or where more than 50% of the population resides in a group setting.

These data do not include doses administered by the following federal agencies who received vaccine allocated directly from CDC: Indian Health Service, Veterans Health Administration, Department of Defense, and the Federal Bureau of Prisons.

For some ZTCAs, vaccination coverage may exceed 100%. This may be a result of many people from outside the county coming to that ZTCA to get their vaccine and providers reporting the county of administration as the county of residence, and/or the DOF estimates of the population in that ZTCA are too low. Please note that population numbers provided by DOF are projections and so may not be accurate, especially given unprecedented shifts in population as a result of the pandemic.",2023
California Crash Reporting System (CCRS),California Highway Patrol,2024-05-31 17:59:14.284418,2026-04-14T16:15:31.507763,222,Statistic crash records within State of California,2024
Dual-Eligible Special Needs Plan Dashboard,California Department of Health Care Services,2026-04-04 16:06:10.211259,2026-04-14T16:06:14.104363,15,"This dataset primarily presents demographic attributes of individuals enrolled in D SNP Medicare Advantage plans—such as age, language, gender, and ethnicity—providing a comprehensive view of dual-eligible members served (i.e., members eligible for both Medicare and Medi Cal).

Dual-Eligible Special Needs Plan (D-SNP) are a type of Medicare Advantage plan for dually eligible members that coordinate all Medicare and Medi-Cal benefits. Medi-Medi Plans are a type of D-SNP, where the member is in the same health plan organization for both Medicare and Medi-Cal, with unified member materials, grievance and appeals, and administration of benefits. Medi-Medi Plans are also known as Exclusively Aligned Enrollment (EAE) D-SNPs. Non- EAE D-SNPs may not have an affiliated Medi-Cal plan in the member's county, and/or the member materials are not unified.",2026
Drinking Water - SAFER Dashboard Failing and At-Risk Drinking Water Systems,California State Water Resources Control Board,2023-02-10 18:52:23.919035,2026-04-14T14:30:30.621575,4,"The Division of Drinking Water (DDW) identifies Failing and At-Risk community water systems and K-12 non-transient, non-community schools. This information is displayed online in the Safe and Affordable Funding for Equity and Resilience (SAFER) Dashboard. The data utilized for this assessment is derived from multiple sources: self-reported from water systems, data generated by DDW staff, other California state agencies, and U.S. Census. The data sources, calculation methods, Failing and At-Risk criteria, etc. are fully documented in the annual Drinking Water Needs Assessment report which is published annually on the State Water Board’s website. ",2023
"Women, Infants and Children (WIC) Authorized Vendors",California Department of Public Health,2023-12-04 23:04:52.524993,2026-04-14T18:04:56.997789,2,"This dataset contains the vendor name and location of all currently active vendors authorized to offer supplemental foods to participants for redemption with WIC food instruments and vouchers.

The Women, Infants and Children (WIC) Program is a federally-funded health and nutrition program that provides assistance to pregnant women, new mothers, infants and children under age five. WIC helps California families by providing food instruments and vouchers that can be used to purchase healthy supplemental foods from over 4000 WIC-authorized vendor stores throughout the State. WIC also provides nutritional education, breastfeeding support and help finding healthcare and other community services. Participants must meet income guidelines and other criteria. Currently, 84 WIC agencies provide services monthly to over 1.45 million participants at over 650 sites in local communities throughout the State.

For a mobile friendly site on WIC vendors and other WIC-related information visit:  https://m.wic.ca.gov/",2023
